iter	Passed	Remaining
414	3084	5833
415	3090	5825
416	3098	5817
417	3105	5809
418	3112	5802
419	3119	5793
420	3126	5785
421	3134	5778
422	3141	5771
423	3148	5762
424	3155	5753
425	3162	5745
426	3168	5736
427	3175	5727
428	3182	5718
429	3189	5710
430	3196	5703
431	3204	5696
432	3211	5688
433	3218	5680
434	3224	5671
435	3231	5663
436	3239	5655
437	3245	5646
438	3252	5638
439	3259	5629
440	3266	5621
441	3273	5613
442	3279	5604
443	3286	5596
444	3293	5588
445	3300	5579
446	3307	5571
447	3314	5563
448	3321	5555
449	3328	5546
450	3335	5540
451	3344	5534
452	3352	5527
453	3359	5520
454	3368	5515
455	3375	5508
456	3384	5501
457	3391	5494
458	3399	5488
459	3407	5481
460	3415	5474
461	3423	5468
462	3431	5461
463	3439	5455
464	3446	5447
465	3453	5439
466	3461	5432
467	3468	5425
468	3475	5417
469	3483	5410
470	3491	5403
471	3499	5397
472	3506	5389
473	3513	5381
474	3520	5372
475	3527	5364
476	3533	5356
477	3540	5348
478	3547	5339
479	3554	5331
480	3561	5323
481	3567	5314
482	3574	5306
483	3581	5297
484	3587	5289
485	3594	5280
486	3601	5273
487	3608	5265
488	3616	5258
489	3623	5249
490	3629	5241
491	3637	5234
492	3644	5226
493	3651	5218
494	3658	5209
495	3665	5202
496	3671	5193
497	3678	5185
498	3685	5177
499	3692	5169
500	3700	5163
501	3708	5156
502	3717	5151
503	3726	5145
504	3734	5139
505	3742	5133
506	3750	5126
507	3757	5119
508	3765	5112
509	3773	5105
510	3781	5098
511	3788	5091
512	3795	5082
513	3802	5074
514	3809	5067
515	3817	5059
516	3824	5052
517	3832	5046
518	3840	5039
519	3849	5034
520	3856	5026
521	3863	5018
522	3870	5009
523	3876	5001
524	3883	4992
525	3890	4985
526	3897	4977
527	3904	4969
528	3911	4961
529	3918	4953
530	3925	4946
531	3932	4937
532	3938	4928
533	3946	4921
534	3953	4913
535	3960	4905
536	3966	4897
537	3974	4890
538	3981	4882
539	3988	4874
540	3994	4866
541	4002	4858
542	4008	4850
543	4015	4842
544	4022	4834
545	4030	4827
546	4038	4821
547	4047	4815
548	4055	4809
549	4063	4802
550	4072	4797
551	4082	4791
552	4089	4785
553	4098	4779
554	4106	4772
555	4113	4764
556	4120	4756
557	4127	4748
558	4135	4741
559	4142	4734
560	4150	4727
561	4159	4721
562	4166	4714
563	4174	4707
564	4181	4699
565	4189	4692
566	4196	4684
567	4202	4676
568	4209	4668
569	4216	4660
570	4223	4652
571	4229	4644
572	4236	4635
573	4243	4627
574	4250	4619
575	4256	4611
576	4263	4603
577	4271	4596
578	4278	4589
579	4285	4580
580	4292	4572
581	4299	4565
582	4306	4557
583	4312	4549
584	4319	4541
585	4326	4533
586	4333	4525
587	4340	4517
588	4347	4509
589	4355	4503
590	4362	4495
591	4370	4488
592	4378	4481
593	4387	4475
594	4395	4469
595	4403	4462
596	4411	4455
597	4419	4448
598	4426	4441
599	4434	4434
600	4441	4426
601	4449	4419
602	4456	4412
603	4463	4404
604	4470	4396
605	4478	4389
606	4485	4381
607	4492	4374
608	4499	4366
609	4506	4358
610	4514	4351
611	4521	4344
612	4528	4336
613	4535	4328
614	4541	4320
615	4548	4312
616	4555	4304
617	4562	4296
618	4569	4288
619	4575	4280
620	4582	4272
621	4589	4264
622	4596	4257
623	4603	4249
624	4610	4241
625	4617	4233
626	4625	4226
627	4631	4218
628	4638	4211
629	4645	4203
630	4652	4195
631	4659	4187
632	4666	4180
633	4673	4172
634	4679	4163
635	4686	4156
636	4693	4148
637	4700	4140
638	4707	4133
639	4714	4125
640	4720	4116
641	4727	4109
642	4734	4101
643	4742	4094
644	4750	4087
645	4759	4081
646	4767	4074
647	4775	4068
648	4784	4061
649	4791	4054
650	4800	4048
651	4807	4040
652	4815	4033
653	4823	4026
654	4830	4019
655	4837	4011
656	4844	4004
657	4851	3996
658	4858	3988
659	4865	3980
660	4872	3973
661	4880	3965
662	4887	3958
663	4895	3951
664	4902	3944
665	4910	3937
666	4917	3929
667	4924	3921
668	4931	3914
669	4938	3906
670	4944	3898
671	4951	3890
672	4958	3882
673	4965	3875
674	4972	3867
675	4978	3859
676	4985	3851
677	4992	3843
678	4998	3835
679	5005	3827
680	5012	3820
681	5019	3812
682	5026	3804
683	5033	3796
684	5040	3789
685	5047	3781
686	5053	3773
687	5060	3766
688	5067	3758
689	5075	3751
690	5081	3743
691	5088	3735
692	5096	3728
693	5104	3721
694	5112	3715
695	5121	3708
696	5129	3701
697	5138	3695
698	5146	3688
699	5153	3681
700	5161	3673
701	5169	3667
702	5177	3660
703	5184	3652
704	5191	3645
705	5199	3638
706	5206	3630
707	5213	3623
708	5220	3615
709	5228	3608
710	5236	3601
711	5243	3593
712	5250	3586
713	5257	3578
714	5264	3571
715	5271	3563
716	5278	3555
717	5285	3548
718	5292	3540
719	5298	3532
720	5305	3524
721	5312	3516
722	5319	3509
723	5325	3501
724	5332	3493
725	5339	3485
726	5346	3478
727	5353	3470
728	5360	3463
729	5366	3455
730	5373	3447
731	5380	3439
732	5386	3431
733	5393	3424
734	5400	3416
735	5407	3408
736	5414	3401
737	5420	3393
738	5427	3385
739	5434	3378
740	5442	3371
741	5451	3364
742	5459	3357
743	5467	3351
744	5475	3344
745	5483	3337
746	5492	3330
747	5501	3324
748	5509	3317
749	5516	3309
750	5523	3302
751	5529	3294
752	5536	3286
753	5543	3278
754	5550	3271
755	5557	3264
756	5565	3256
757	5573	3249
758	5580	3242
759	5588	3235
760	5595	3228
761	5602	3220
762	5609	3212
763	5616	3205
764	5623	3197
765	5630	3189
766	5637	3182
767	5643	3174
768	5650	3167
769	5657	3159
770	5664	3151
771	5671	3144
772	5677	3136
773	5684	3128
774	5691	3121
775	5698	3113
776	5705	3105
777	5711	3098
778	5718	3090
779	5724	3082
780	5731	3074
781	5737	3066
782	5744	3059
783	5751	3052
784	5758	3044
785	5765	3036
786	5772	3029
787	5780	3022
788	5789	3015
789	5797	3008
790	5805	3001
791	5813	2994
792	5822	2988
793	5830	2981
794	5839	2974
795	5848	2968
796	5855	2960
797	5863	2953
798	5870	2946
799	5878	2939
800	5885	2931
801	5893	2924
802	5902	2917
803	5910	2911
804	5917	2903
805	5923	2895
