iter	Logloss
0	0.5763689926
1	0.4328510096
2	0.3357696279
3	0.2979844034
4	0.2677824392
5	0.2166112378
6	0.1787684653
7	0.1618303257
8	0.1443304867
9	0.1373068881
10	0.1259994624
11	0.1148013681
12	0.1077492292
13	0.1015639925
14	0.09778824671
15	0.09480962229
16	0.09274213024
17	0.09063082858
18	0.08820845729
19	0.08643971104
20	0.08483531585
21	0.08368122747
22	0.08179588758
23	0.08030613522
24	0.07880403379
25	0.07782690375
26	0.07751795683
27	0.0767573769
28	0.07610269935
29	0.0751967828
30	0.07456383123
31	0.07421555804
32	0.07383479536
33	0.07337856032
34	0.07311249941
35	0.07247874196
36	0.07222888463
37	0.07199084119
38	0.07179233386
39	0.07151934424
40	0.07108412657
41	0.07075959233
42	0.07055726777
43	0.07028924566
44	0.07009337413
45	0.06978219839
46	0.06945385159
47	0.06912779605
48	0.06899221152
49	0.06876422784
50	0.06863909549
51	0.06852186432
52	0.06838734014
53	0.06830919919
54	0.06810694199
55	0.06790126679
56	0.06744650209
57	0.06737848575
58	0.06722816162
59	0.06682866235
60	0.06663345398
61	0.06657584063
62	0.06644247651
63	0.06615601315
64	0.06596302191
65	0.06587140318
66	0.06576209121
67	0.06557934914
68	0.06544044784
69	0.06536700782
70	0.06529290306
71	0.06518498306
72	0.06509203698
73	0.06491501124
74	0.06489520828
75	0.06471118978
76	0.06436190363
77	0.06423964707
78	0.06416307015
79	0.06412350566
80	0.06409161378
81	0.0640046284
82	0.06391473064
83	0.06366111215
84	0.06357629341
85	0.06349089556
86	0.06340058586
87	0.06337533175
88	0.06330093919
89	0.06324879101
90	0.06319230386
91	0.06312885522
92	0.06300270528
93	0.06290074707
94	0.0628117779
95	0.06270286311
96	0.06260429709
97	0.06258233975
98	0.06250377598
99	0.06230251816
100	0.06220856483
101	0.06217774156
102	0.06210415638
103	0.06203680234
104	0.06192939237
105	0.0617906338
106	0.06168284417
107	0.06160201306
108	0.06145247908
109	0.06124723041
110	0.06117840022
111	0.06100644901
112	0.06096468407
113	0.06091298806
114	0.06086357511
115	0.06078056659
116	0.0607537967
117	0.0605935248
118	0.06045877868
119	0.06031629467
120	0.06024998146
121	0.0602354286
122	0.06013428205
123	0.06006252508
124	0.05994250803
125	0.05988116692
126	0.05980256239
127	0.05976367778
128	0.05968539061
129	0.05965198057
130	0.05960270963
131	0.05953616973
132	0.05943616219
133	0.05939621499
134	0.05934810646
135	0.05928681908
136	0.059230123
137	0.0591651759
138	0.05909968105
139	0.0590231678
140	0.05894244832
141	0.05883916114
142	0.0587648137
143	0.05867338777
144	0.05861452464
145	0.05853941716
146	0.0584395909
147	0.05840293796
148	0.05835414819
149	0.05829651445
150	0.05825550998
151	0.05818432671
152	0.05812774221
153	0.05807137408
154	0.05795265067
155	0.05788537689
156	0.05781664425
157	0.05777032142
158	0.05768709625
159	0.05759244407
160	0.05751564268
161	0.05746667736
162	0.05741521039
163	0.05732656803
164	0.05728836395
165	0.05723573041
166	0.05717858277
167	0.05710883729
168	0.05701591882
169	0.05695587271
170	0.05690974908
171	0.05689677975
172	0.05684041767
173	0.05681466236
174	0.05675400435
175	0.05668835773
176	0.05663365876
177	0.05654354328
178	0.05648248139
179	0.05638876368
180	0.05633506065
181	0.05627376991
182	0.05615249909
183	0.0560612716
184	0.05601469619
185	0.05596524414
186	0.05590037479
187	0.05584306736
188	0.05579230124
189	0.05571120168
190	0.05557195383
191	0.05547030654
192	0.05540652341
193	0.05531910652
194	0.05527154536
195	0.0552290982
196	0.05516675359
197	0.05510543688
198	0.05507527921
199	0.05507011966
200	0.05506529007
201	0.05502145107
202	0.05497852496
203	0.05497393773
204	0.05492445771
205	0.05484673139
206	0.0548036919
207	0.05479339613
208	0.05475009987
209	0.05469578803
210	0.05467730542
211	0.05466825388
212	0.05464024529
213	0.05459107747
214	0.05451258176
215	0.05449474577
216	0.05444414103
217	0.05442919757
218	0.05437742659
219	0.0543678935
220	0.05429245891
221	0.05425367068
222	0.05419962422
223	0.05417052619
224	0.05416717522
225	0.05413175747
226	0.05404353764
227	0.05403253649
228	0.05398433699
229	0.05397628478
230	0.05392285276
231	0.05391163634
232	0.0538421903
233	0.0538346949
234	0.05368153652
235	0.05363055599
236	0.05358202477
237	0.05354262019
238	0.05345142639
239	0.05334242121
240	0.05325576023
241	0.05321164725
242	0.05318237023
243	0.05315806365
244	0.05311859619
245	0.05303876746
246	0.05299754237
247	0.05293590213
248	0.0528494795
249	0.05284109936
250	0.0528084976
251	0.05275096046
252	0.0526876316
253	0.05264868543
254	0.05260023112
255	0.05252782413
256	0.05249303641
257	0.05248614829
258	0.05245485983
259	0.05240755374
260	0.05236915814
261	0.05231065551
262	0.05224326853
263	0.05220122773
264	0.0521496557
265	0.05210836023
266	0.05202622367
267	0.05200552033
268	0.05197258279
269	0.0519173947
270	0.05182746063
271	0.05179825722
272	0.05176835718
273	0.0516891306
274	0.05161650853
275	0.05158800959
276	0.05155823847
277	0.05152088498
278	0.05146501348
279	0.05142915574
280	0.05139416157
281	0.05135590616
282	0.05132317043
283	0.05125810662
284	0.05121814429
285	0.05118457364
286	0.05115142308
287	0.05114925051
288	0.05108806913
289	0.0510539043
290	0.05102149134
291	0.05098909002
292	0.05095109864
293	0.05091145737
294	0.05086648045
295	0.05082706103
296	0.05076599597
297	0.05071803089
298	0.05068710143
299	0.05067353418
300	0.05064241763
301	0.05058541773
302	0.05055863482
303	0.05053863
304	0.0504958514
305	0.0504268347
306	0.05037206524
307	0.05036683056
308	0.05030571392
309	0.05027734272
310	0.05026903104
311	0.0502374297
312	0.05020651694
313	0.05015742697
314	0.05012848097
315	0.05009754764
316	0.0500561643
317	0.05001546767
318	0.04997231059
319	0.04991896725
320	0.04987665185
321	0.04985362766
322	0.04980859149
323	0.04978305242
324	0.04973371484
325	0.04966291493
326	0.04964718399
327	0.04963048994
328	0.04962596709
329	0.04960807219
330	0.04958517176
331	0.04954751002
